counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper
21,24.879000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
22,25.079000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
23,25.279000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
24,25.480000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
25,25.796000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
26,25.996000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
27,26.197000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
28,26.398000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
29,26.601000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
30,26.951000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
31,27.153000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
32,27.353000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
33,27.554000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
34,27.759000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
35,28.129000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
36,28.329000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
37,28.529000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
38,28.729000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
39,28.944000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
40,29.295000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.52,0.34,0.0
41,29.496000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.24,0.0
42,29.733000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.24,0.0
43,29.935000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.24,0.0
44,30.135000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.24,0.0
45,30.339000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.24,0.0
46,30.570000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
47,30.772000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
48,30.972000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
49,31.172000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
50,31.372000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
51,31.572000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.63,0.08,0.0
52,31.854000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
53,32.054000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
54,32.255000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
55,32.461000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
56,32.661000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
57,32.863000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.69,0.08,0.0
58,33.102000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
59,33.303000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
60,33.505000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
61,33.707000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
62,33.908000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
63,34.108000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,-0.13,0.0
64,34.463000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.16,0.0
65,34.664000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.16,0.0
66,34.864000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.16,0.0
67,35.064000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.16,0.0
68,35.264000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.58,0.16,0.0
69,39.958000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.56,0.03,0.0
70,40.158000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.56,0.03,0.0
71,40.359000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.56,0.03,0.0
72,40.559000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.56,0.03,0.0
73,40.851000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,-0.17,0.0
74,41.051000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,-0.17,0.0
75,41.251000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,-0.17,0.0
76,41.451000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,-0.17,0.0
77,41.746000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.58,0.16,0.0
78,41.946000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.58,0.16,0.0
79,42.146000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.58,0.16,0.0
80,42.432000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.54,0.21,0.0
81,42.636000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.54,0.21,0.0
82,42.836000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.54,0.21,0.0
83,43.075000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.54,0.21,0.0
84,43.295000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.54,0.21,0.0
85,43.498000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.33,0.0
86,43.699000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.33,0.0
87,43.899000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.33,0.0
88,44.100000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.51,0.23,0.0
89,44.300000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.51,0.23,0.0
90,44.501000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.51,0.23,0.0
91,44.829000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.64,-0.04,0.0
92,45.030000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.64,-0.04,0.0
93,45.230000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.64,-0.04,0.0
94,45.430000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.64,-0.04,0.0
95,45.645000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.2,0.0
96,45.845000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.2,0.0
97,46.050000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.2,0.0
98,46.250000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.2,0.0
99,46.545000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.69,-0.2,0.0
100,46.745000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,0.29,0.0
101,46.945000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,0.29,0.0
102,47.145000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.59,0.29,0.0
103,47.406000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.18,0.0
104,47.606000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.18,0.0
105,47.806000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.18,0.0
106,48.009000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.18,0.0
107,48.316000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.17,0.0
108,48.520000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.17,0.0
109,48.720000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.17,0.0
110,48.922000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.17,0.0
111,49.251000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.32,0.0
112,49.451000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.32,0.0
113,49.651000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.32,0.0
114,49.851000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.32,0.0
115,50.051000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,-0.32,0.0
116,50.293000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.0,0.0
117,50.497000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.0,0.0
118,50.699000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.0,0.0
119,50.899000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.0,0.0
120,51.106000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,0.0,0.0
121,51.412000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.7,-0.21,0.0
122,51.612000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.7,-0.21,0.0
123,51.812000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.7,-0.21,0.0
124,52.012000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.7,-0.21,0.0
125,52.212000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.7,-0.21,0.0
126,52.525000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
127,52.725000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
128,52.925000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
129,53.125000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
130,53.326000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.6,0.36,0.0
131,53.596000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
132,53.796000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
133,53.996000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
134,54.197000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
135,54.398000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.53,-0.3,0.0
136,54.725000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
137,54.925000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
138,55.125000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
139,55.325000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
140,55.533000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.17,0.0
141,55.782000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
142,55.985000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
143,56.185000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
144,56.386000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.65,-0.13,0.0
145,56.624000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
146,56.824000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
147,57.025000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
148,57.225000,-0.289685899781,1.62122814217,0.152497232768,0.151841207705,-0.0435920302368,-0.0994132270366,0.0338445575877,0.55,0.09,0.0
149,30.906000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
150,31.106000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
151,31.309000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
152,31.509000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,0.21,0.0
153,31.710000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
154,31.925000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
155,32.126000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.64,-0.32,0.0
156,32.326000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.64,-0.32,0.0
157,32.527000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
158,32.833000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
159,33.033000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,-0.23,0.0
160,33.233000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,-0.23,0.0
161,33.433000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,-0.23,0.0
162,33.685000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
163,33.885000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.63,0.24,0.0
164,34.085000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
165,34.288000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
166,34.570000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.62,0.09,0.0
167,34.771000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.62,0.09,0.0
168,34.973000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.62,0.09,0.0
169,35.174000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.62,0.09,0.0
170,35.431000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
171,35.633000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
172,35.834000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.56,-0.15,0.0
173,36.035000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
174,36.299000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
175,36.499000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.67,0.25,0.0
176,36.700000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.67,0.25,0.0
177,36.900000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.67,0.25,0.0
178,37.101000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.68,0.36,0.0
179,37.301000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
180,37.504000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
181,37.707000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
182,37.959000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.57,-0.03,0.0
183,38.159000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.57,-0.03,0.0
184,38.360000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.57,-0.03,0.0
